"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","838050","842590","848740","855350","870920","895540","905810","926000","960820","945540","948360","991070","1040470","1083510","1126950","1154760","1159200","1227540","1288080","1276100","1335490","1342560","1381860","1406900","1436410","1436770","1457530","1471620","1478910","","","",
"Afghanistan","AFG","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15180","15100","13630","13460","13270","13480","14440","15340","16100","16910","15080","13490","16090","16780","16520","17400","21040","24880","31540","36960","44910","58650","66750","74800","84620","93730","95370","97300","98920","","","",
"","AFW","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","398170","425410","447010","461910","528770","526710","537710","538720","542300","541880","553740","561370","575870","602120","612550","650720","651900","655600","666010","652550","690440","723970","740720","771100","790820","805370","835230","848650","881570","","","",
"Angola","AGO","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42180","42840","43170","43950","44100","48460","46480","46680","49410","48770","49590","51730","55610","65370","67740","67230","68080","74850","76080","79690","84120","86040","84930","88410","88980","90620","91240","87180","79730","","","",
"Albanie","ALB","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11310","8950","6890","6830","7670","7430","7150","6420","6670","7890","8220","8190","8820","9250","9310","9100","9000","9050","8790","8850","9130","9630","9240","9440","9930","9850","9720","10290","10080","","","",
"Andorre","AND","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","430","430","440","440","460","490","510","540","570","590","590","600","610","640","660","640","640","640","620","630","600","600","590","580","580","590","590","590","","","",
"Le monde arabe","ARB","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","985720","1017620","1051350","1113240","1165030","1202200","1246510","1285430","1307530","1333080","1380740","1441760","1498360","1535670","1609430","1721520","1790690","1862570","1974290","2055310","2143440","2174340","2285760","2318020","2395260","2438650","2479110","2518170","2538650","","","",
"Émirats arabes unis","ARE","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69710","76250","74820","77760","84370","90780","96090","103860","108390","112690","113340","127370","131600","139310","148020","156700","162950","174270","199890","202080","208580","214630","226570","237630","240020","252850","259650","269820","263240","","","",
"Argentine","ARG","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243030","248010","252410","254920","260000","260580","272500","274400","278480","283170","284590","277330","274150","295740","310990","315570","330120","343550","347610","328570","334590","344800","348940","358180","356100","362560","366370","367320","365650","","","",
"Arménie","ARM","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24310","24940","14820","8630","6110","6710","5650","6260","6180","5670","6020","6140","5810","6230","6620","7350","7770","8440","8990","7900","7750","8380","9360","9300","9260","9260","9510","9280","9360","","","",
"Samoa américaines","ASM","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua-et-Barbuda","ATG","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360","370","450","430","430","460","490","520","570","590","610","650","710","750","760","790","860","920","970","1930","1040","1070","1290","1060","1070","1100","1130","1160","1210","","","",
"Australie","AUS","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","503820","503740","505910","505590","508670","516760","514520","522740","550570","583610","608210","634100","627080","546710","605380","568380","611700","614990","587260","601070","571220","673130","670930","581890","593500","594580","573390","619790","615380","","","",
"Autriche","AUT","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76260","80460","74670","74590","74690","77160","80880","79870","79850","78030","78240","82550","83860","88940","89750","89790","87470","84390","83950","77000","82720","80790","77570","78120","74350","75480","75660","77830","74980","","","",
"Azerbaïdjan","AZE","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76760","85780","62020","70160","63630","61580","56940","57030","57850","58180","60260","60620","61530","59240","60530","64520","67560","66220","73800","74710","78990","82310","83480","83030","83210","82030","81890","80520","80260","","","",
"Burundi","BDI","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2940","3040","3080","3100","3040","3140","3120","3150","3160","3100","3050","3000","2960","2920","2950","2980","3130","3200","3330","3490","3810","4010","4070","4430","4370","4350","4750","5390","5520","","","",
"Belgique","BEL","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130730","135670","133750","131580","136940","137110","142470","139270","142050","138190","138310","138690","131410","134790","133360","129500","126520","121860","124200","117130","124460","112180","111590","112860","106460","111520","110360","108250","108750","","","",
"Bénin","BEN","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4760","4890","5010","5120","5410","5270","6510","6910","7230","7220","7790","7320","8240","8250","8360","9430","10270","11140","10960","11640","12270","12480","12500","13200","13790","14430","16100","16270","17380","","","",
"Burkina Faso","BFA","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12510","12950","13260","13520","13980","14370","14400","15010","15160","15500","16620","15810","16550","20030","20630","21300","21350","22100","22940","23640","24810","25250","25970","26990","27490","28240","29650","30560","30850","","","",
"Bangladesh","BGD","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92360","92540","94440","95650","98090","103120","103650","105940","105870","109910","112250","116870","120430","122030","123760","128390","133590","136520","144740","148380","155970","161700","165250","168630","173510","182600","183500","192420","198970","","","",
"Bulgarie","BGR","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98340","81120","75250","73770","69880","71100","71630","69110","65260","58330","57700","60160","57510","62300","60990","60950","61030","65210","62760","55350","57040","62840","57150","52060","54660","57310","54270","56450","53330","","","",
"Bahreïn","BHR","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14060","13760","15780","16680","17130","17960","19340","20330","22170","22860","24030","24850","26020","27070","27370","30460","32890","34030","36430","37020","38920","39660","40880","43760","45900","46950","47160","47940","48950","","","",
"Bahamas","BHS","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1990","2090","2750","2320","2260","2310","2210","2010","2520","2480","2390","2390","2540","2520","2470","2320","2320","2380","2440","6350","2410","2770","3990","3480","2980","2740","2570","2540","2640","","","",
"Bosnie-Herzégovine","BIH","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30140","27600","20070","16620","6300","6210","7300","12210","14990","15020","18670","18450","18590","19070","20140","20820","22680","23820","25710","25950","25960","29040","27260","27050","24470","24640","27200","27460","27190","","","",
"Bélarus","BLR","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137460","132400","118440","105660","92630","84520","85230","85610","83650","81180","78600","77740","76510","77620","81500","82280","85450","84270","88530","85720","90310","87380","88970","89610","88890","84480","83590","85200","88140","","","",
"Belize","BLZ","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6560","6780","7000","7060","7170","6090","4920","3970","2920","1830","800","900","990","1060","870","930","1020","1110","1120","2170","1300","1420","1450","1360","1310","1480","1510","1530","1560","","","",
"Bermudes","BMU","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23230","24030","25850","27620","29690","29270","28760","29350","30420","30620","30520","30430","33160","33940","36410","38560","39230","40330","41580","42910","47730","47800","49130","50910","51870","53400","55780","56300","56870","","","",
"Brésil","BRA","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","593950","621220","631150","641360","657690","677740","685170","713090","736040","752070","765600","796350","823220","837390","883460","888930","886910","911240","924380","905490","986440","1004840","1042040","1070850","1105900","1082700","1051690","1064920","1032640","","","",
"Barbade","BRB","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3120","3150","3390","3240","3320","3370","3380","3490","3610","3650","3600","3670","3720","3730","3730","3770","3830","3850","4170","7010","4000","4090","4660","3940","3760","3770","3820","3720","3790","","","",
"Brunéi Darussalam","BRN","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13880","13490","13830","14240","14650","15160","15690","16400","15950","16160","16720","16700","16830","17820","17580","17560","19480","18640","18530","18270","17220","17270","17310","17110","16960","15880","16180","16330","16620","","","",
"Bhoutan","BTN","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1130","1180","1170","1140","1170","1270","1300","1390","1390","1430","1410","1350","1390","1360","1320","1510","1490","1510","1440","1470","1570","1780","1870","1970","2030","2040","2310","2420","2470","","","",
"Botswana","BWA","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13660","13100","13360","13050","13320","14260","15490","15170","14900","15010","14920","16780","17120","9990","10590","11990","13860","12160","20940","11830","22420","27490","16490","15950","14760","14400","13580","17460","16120","","","",
"République centrafricaine","CAF","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34730","35480","35970","36450","39390","39960","42360","42920","45340","43390","46740","42640","40130","44980","42100","42870","43570","44490","46240","42260","44960","48060","46980","50040","51370","53480","55820","54780","55680","","","",
"Canada","CAN","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559840","555770","571700","569720","590300","605760","626130","641550","650070","653800","671760","660900","679480","698410","693310","705080","691000","722540","698190","661010","674200","689760","694210","705420","712310","707930","695200","709370","724930","","","",
"Europe centrale et les pays baltes","CEB","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280490","1175470","1095910","1062280","1034210","1036450","1060660","1031680","972430","924790","916490","931140","910670","944060","944160","942590","958170","965260","945630","876300","903200","902300","873260","845980","825390","837450","847240","870180","864510","","","",
"Suisse","CHE","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52650","54850","54770","52300","51430","52360","52950","51500","53040","53160","52360","53960","52310","53500","53950","54650","54350","52410","54010","52530","54100","50020","51250","52270","48470","47710","48190","47200","46020","","","",
"Îles Anglo-Normandes","CHI","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Émissions totales de GES (kt d’équivalent CO2)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47520","46790","49130","50490","54020","57480","63880","71060","72330","75120","71480","69330","70050","70920","76250","76810","78180","86380","90920","88350","93170","99620","101900","104980","98660","104020","108150","109350","109590","","","",
