latitude,longitude,values,location
-59.5,-27.5,1.1467515,"South Sandwich Islands, South Georgia and the South Sandwich Islands"
-58.5,-26.5,1.0501685,"South Sandwich Islands, South Georgia and the South Sandwich Islands"
-56.5,-68.5,0.8901244,Chile
-56.5,-27.5,0.8845806,"South Sandwich Islands, South Georgia and the South Sandwich Islands"
-55.5,-69.5,0.9745229,"Cabo de Hornos, Provincia de la Antártica Chilena, Región de Magallanes y de la Antártica Chilena, Chile"
-55.5,-68.5,0.9789356,"Cabo de Hornos, Provincia de la Antártica Chilena, Región de Magallanes y de la Antártica Chilena, Chile"
-55.5,-67.5,0.960937,"Cabo de Hornos, Provincia de la Antártica Chilena, Región de Magallanes y de la Antártica Chilena, Chile"
-55.5,-66.5,0.92390037,Chile
-54.5,-73.5,0.9302813,Chile
-54.5,-72.5,0.9637722,"Punta Arenas, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-54.5,-71.5,1.0049819,"Cabo de Hornos, Provincia de la Antártica Chilena, Región de Magallanes y de la Antártica Chilena, Chile"
-54.5,-70.5,1.044832,"Timaukel, Provincia de Tierra del Fuego, Región de Magallanes y de la Antártica Chilena, Chile"
-54.5,-69.5,1.0712233,"Timaukel, Provincia de Tierra del Fuego, Región de Magallanes y de la Antártica Chilena, Chile"
-54.5,-68.5,1.0756392,"Departamento Ushuaia, Tierra del Fuego, Argentina"
-54.5,-67.5,1.0388727,"Departamento Tolhuin, Tierra del Fuego, Argentina"
-54.5,-66.5,0.97365046,"Departamento Tolhuin, Tierra del Fuego, Argentina"
-54.5,-65.5,0.9259692,Argentina
-54.5,-37.5,0.89021075,"South Georgia, South Georgia and the South Sandwich Islands"
-54.5,-36.5,0.87880117,"South Georgia, South Georgia and the South Sandwich Islands"
-54.5,3.5,0.9064848,"Bouvetøya, Norge"
-53.5,-74.5,0.92885333,Chile
-53.5,-73.5,0.9899698,"Punta Arenas, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-53.5,-72.5,1.0523798,"Río Verde, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-53.5,-71.5,1.0835624,"Punta Arenas, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-53.5,-70.5,1.1006942,"Punta Arenas, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-53.5,-69.5,1.0968649,"Porvenir, Provincia de Tierra del Fuego, Región de Magallanes y de la Antártica Chilena, Chile"
-53.5,-68.5,1.0582322,"Departamento Río Grande, Tierra del Fuego, Argentina"
-52.5,-74.5,0.96043676,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-52.5,-73.5,1.0364667,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-52.5,-72.5,1.1004987,"Río Verde, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-52.5,-71.5,1.1268399,"Río Verde, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-52.5,-70.5,1.1331116,"San Gregorio, Provincia de Magallanes, Región de Magallanes y de la Antártica Chilena, Chile"
-52.5,-69.5,1.1101253,"Primavera, Provincia de Tierra del Fuego, Región de Magallanes y de la Antártica Chilena, Chile"
-52.5,-68.5,1.0429567,Argentina
-52.5,-59.5,0.93895644,Falkland Islands
-52.5,169.5,0.84640807,New Zealand / Aotearoa
-51.5,-75.5,0.9403849,Chile
-51.5,-74.5,1.0078473,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-51.5,-73.5,1.0905514,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-51.5,-72.5,1.1539825,"Ruta 9 Norte, Dos Lagunas, Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-51.5,-71.5,1.1745743,"Güer Aike, Santa Cruz, Argentina"
-51.5,-70.5,1.157359,"Güer Aike, Santa Cruz, Argentina"
-51.5,-69.5,1.1251278,"Güer Aike, Santa Cruz, Argentina"
-51.5,-61.5,0.95651424,Falkland Islands
-51.5,-60.5,0.9713974,"Pickthorne Point, Falkland Islands"
-51.5,-59.5,0.9643224,Falkland Islands
-51.5,-58.5,0.9468911,Falkland Islands
-51.5,-57.5,0.9108585,Falkland Islands
-50.5,-75.5,0.9736476,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-50.5,-74.5,1.065934,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-50.5,-73.5,1.1545877,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-50.5,-72.5,1.2372779,"Lago Argentino, Santa Cruz, Argentina"
-50.5,-71.5,1.2521105,"Lago Argentino, Santa Cruz, Argentina"
-50.5,-70.5,1.2175179,"Corpen Aike, Santa Cruz, Argentina"
-50.5,-69.5,1.1823274,"Corpen Aike, Santa Cruz, Argentina"
-50.5,166.5,0.88055176,New Zealand / Aotearoa
-49.5,-75.5,1.0616647,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-49.5,-74.5,1.1443073,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-49.5,-73.5,1.2393403,"Natales, Provincia de Última Esperanza, Región de Magallanes y de la Antártica Chilena, Chile"
-49.5,-72.5,1.3204069,"Lago Argentino, Santa Cruz, Argentina"
-49.5,-71.5,1.3403162,"Lago Argentino, Santa Cruz, Argentina"
-49.5,-70.5,1.3167081,"Corpen Aike, Santa Cruz, Argentina"
-49.5,-69.5,1.2783729,"Corpen Aike, Santa Cruz, Argentina"
-49.5,-68.5,1.191682,"Corpen Aike, Santa Cruz, Argentina"
-49.5,-67.5,1.1289101,Argentina
-49.5,68.5,1.1056621,"Archipel des Kerguelen, Terres australes et antarctiques françaises, France"
-49.5,69.5,1.117749,"Péninsule Gallieni, Archipel des Kerguelen, Terres australes et antarctiques françaises, France"
-49.5,70.5,1.1171635,"Archipel des Kerguelen, Terres australes et antarctiques françaises, France"
-48.5,-75.5,1.0776622,"Tortel, Provincia de Capitán Prat, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-48.5,-74.5,1.1650512,"Tortel, Provincia de Capitán Prat, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-48.5,-73.5,1.2678324,"Tortel, Provincia de Capitán Prat, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-48.5,-72.5,1.3425208,"O’Higgins, Provincia de Capitán Prat, Región Aysén del General Carlos Ibáñez del Campo, 6110000, Chile"
-48.5,-71.5,1.37777,"Río Chico, Santa Cruz, Argentina"
-48.5,-70.5,1.3801879,"Río Chico, Santa Cruz, Argentina"
-48.5,-69.5,1.3446953,"Magallanes, Santa Cruz, Argentina"
-48.5,-68.5,1.2697197,"Magallanes, Santa Cruz, Argentina"
-48.5,-67.5,1.2142658,"Magallanes, Santa Cruz, Argentina"
-48.5,-66.5,1.1367902,Argentina
-48.5,68.5,1.1077151,"Archipel des Kerguelen, Terres australes et antarctiques françaises, France"
-48.5,69.5,1.1131126,"Archipel des Kerguelen, Terres australes et antarctiques françaises, France"
-47.5,-75.5,1.0695473,Chile
-47.5,-74.5,1.1558888,"Tortel, Provincia de Capitán Prat, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-47.5,-73.5,1.2675508,"Tortel, Provincia de Capitán Prat, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-47.5,-72.5,1.3517674,"Cochrane, Provincia de Capitán Prat, Región Aysén del General Carlos Ibáñez del Campo, 3030000, Chile"
-47.5,-71.5,1.3917127,"Río Chico, Santa Cruz, Argentina"
-47.5,-70.5,1.4034001,"Lago Buenos Aires, Santa Cruz, Argentina"
-47.5,-69.5,1.3711997,"Deseado, Santa Cruz, Argentina"
-47.5,-68.5,1.3101346,"Deseado, Santa Cruz, Argentina"
-47.5,-67.5,1.2558469,"Deseado, Santa Cruz, Argentina"
-47.5,-66.5,1.1705233,"Antonio de Biedma, Deseado, Santa Cruz, Argentina"
-47.5,-65.5,1.0991027,Argentina
-46.5,-75.5,1.0386477,"Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-46.5,-74.5,1.1288632,"Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-46.5,-73.5,1.2427013,"Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-46.5,-72.5,1.3305153,"Río Ibáñez, Provincia de General Carrera, Región Aysén del General Carlos Ibáñez del Campo, 6060000, Chile"
-46.5,-71.5,1.3628131,"Lago Buenos Aires, Santa Cruz, Argentina"
-46.5,-70.5,1.3757787,"Lago Buenos Aires, Santa Cruz, Argentina"
-46.5,-69.5,1.3515203,"Deseado, Santa Cruz, Argentina"
-46.5,-68.5,1.3036729,"YPF.SC.CnE-1153, Caminos petroleros, Deseado, Santa Cruz, Argentina"
-46.5,-67.5,1.2600211,"AIB, Circunvalación Caleta Paula, Caleta Paula, Atlántico, Caleta Olivia, Deseado, Santa Cruz, 9011, Argentina"
-46.5,-66.5,1.1707321,Argentina
-46.5,-65.5,1.1087834,Argentina
-46.5,50.5,1.0941905,"Île aux Pinguins, Terres australes et antarctiques françaises, France"
-46.5,51.5,1.099153,"Archipel des Crozet, Terres australes et antarctiques françaises, France"
-46.5,52.5,1.1008664,"Île de l'Est, Terres australes et antarctiques françaises, France"
-46.5,167.5,1.1702993,"Southland, New Zealand / Aotearoa"
-46.5,168.5,1.1875014,"Waihopai Toetoe Community, Southland District, Southland, New Zealand / Aotearoa"
-46.5,169.5,1.1614678,"Papatowai Highway, Clutha District, Otago, New Zealand / Aotearoa"
-45.5,-74.5,1.0882826,"Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-45.5,-73.5,1.184895,"Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-45.5,-72.5,1.2771531,"Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-45.5,-71.5,1.3277328,"Coyhaique, Provincia de Coyhaique, Región Aysén del General Carlos Ibáñez del Campo, Chile"
-45.5,-70.5,1.3648958,"Departamento Río Senguer, Chubut, Argentina"
-45.5,-69.5,1.3513671,"Departamento Sarmiento, Chubut, Argentina"
-45.5,-68.5,1.3099446,"Departamento Sarmiento, Chubut, Argentina"
-45.5,-67.5,1.2748599,"Departamento Escalante, Chubut, Argentina"
-45.5,-66.5,1.1835146,"Departamento Atlántico, Chubut, Argentina"
-45.5,-65.5,1.1172518,"Departamento Atlántico, Chubut, Argentina"
-45.5,166.5,1.2114308,"Southland, New Zealand / Aotearoa"
-45.5,167.5,1.2665799,"Fiordland Community, Southland District, Southland, New Zealand / Aotearoa"
-45.5,168.5,1.3058159,"Eyre Creek Road, Northern Community, Southland District, Southland, New Zealand / Aotearoa"
-45.5,169.5,1.2892251,"Teviot Valley Community, Central Otago District, Otago, New Zealand / Aotearoa"
-45.5,170.5,1.248346,"Waitaki District, Canterbury, New Zealand / Aotearoa"
-44.5,-176.5,1.1540229,"Chatham Islands, New Zealand / Aotearoa"
