latitude,longitude,tas_anom,pays
-89.5,-179.5,2.0884922,ATA
-89.5,-178.5,2.084025,ATA
-89.5,-177.5,2.0812283,ATA
-89.5,-176.5,2.0842025,ATA
-89.5,-175.5,2.0846608,ATA
-89.5,-174.5,2.0842276,ATA
-89.5,-173.5,2.0846696,ATA
-89.5,-172.5,2.0840359,ATA
-89.5,-171.5,2.0827427,ATA
-89.5,-170.5,2.080843,ATA
-89.5,-169.5,2.0800867,ATA
-89.5,-168.5,2.0801437,ATA
-89.5,-167.5,2.0784068,ATA
-89.5,-166.5,2.0823631,ATA
-89.5,-165.5,2.082182,ATA
-89.5,-164.5,2.081695,ATA
-89.5,-163.5,2.0830438,ATA
-89.5,-162.5,2.0833504,ATA
-89.5,-161.5,2.0857716,ATA
-89.5,-160.5,2.0855,ATA
-89.5,-159.5,2.0868626,ATA
-89.5,-158.5,2.086647,ATA
-89.5,-157.5,2.0844977,ATA
-89.5,-156.5,2.0819051,ATA
-89.5,-155.5,2.0833678,ATA
-89.5,-154.5,2.0813024,ATA
-89.5,-153.5,2.0787928,ATA
-89.5,-152.5,2.0811727,ATA
-89.5,-151.5,2.0801828,ATA
-89.5,-150.5,2.080194,ATA
-89.5,-149.5,2.0800695,ATA
-89.5,-148.5,2.0798354,ATA
-89.5,-147.5,2.0778844,ATA
-89.5,-146.5,2.0768878,ATA
-89.5,-145.5,2.0775793,ATA
-89.5,-144.5,2.0772352,ATA
-89.5,-143.5,2.076208,ATA
-89.5,-142.5,2.0796175,ATA
-89.5,-141.5,2.0803201,ATA
-89.5,-140.5,2.0784457,ATA
-89.5,-139.5,2.0792098,ATA
-89.5,-138.5,2.0827847,ATA
-89.5,-137.5,2.0829496,ATA
-89.5,-136.5,2.0829453,ATA
-89.5,-135.5,2.084205,ATA
-89.5,-134.5,2.084255,ATA
-89.5,-133.5,2.0833378,ATA
-89.5,-132.5,2.0879385,ATA
-89.5,-131.5,2.086134,ATA
-89.5,-130.5,2.0817592,ATA
-89.5,-129.5,2.0797708,ATA
-89.5,-128.5,2.0833735,ATA
-89.5,-127.5,2.0866466,ATA
-89.5,-126.5,2.0856314,ATA
-89.5,-125.5,2.0839565,ATA
-89.5,-124.5,2.0836086,ATA
-89.5,-123.5,2.0823812,ATA
-89.5,-122.5,2.088173,ATA
-89.5,-121.5,2.087287,ATA
-89.5,-120.5,2.0879133,ATA
-89.5,-119.5,2.0870383,ATA
-89.5,-118.5,2.0864599,ATA
-89.5,-117.5,2.085993,ATA
-89.5,-116.5,2.086566,ATA
-89.5,-115.5,2.0840545,ATA
-89.5,-114.5,2.08216,ATA
-89.5,-113.5,2.081808,ATA
-89.5,-112.5,2.0833426,ATA
-89.5,-111.5,2.0836992,ATA
-89.5,-110.5,2.0814686,ATA
-89.5,-109.5,2.0814214,ATA
-89.5,-108.5,2.0815673,ATA
-89.5,-107.5,2.0796518,ATA
-89.5,-106.5,2.081864,ATA
-89.5,-105.5,2.0793498,ATA
-89.5,-104.5,2.0805109,ATA
-89.5,-103.5,2.0830495,ATA
-89.5,-102.5,2.0772846,ATA
-89.5,-101.5,2.081323,ATA
-89.5,-100.5,2.0843375,ATA
-89.5,-99.5,2.0833333,ATA
-89.5,-98.5,2.0816767,ATA
-89.5,-97.5,2.0813456,ATA
-89.5,-96.5,2.091595,ATA
-89.5,-95.5,2.087435,ATA
-89.5,-94.5,2.084119,ATA
-89.5,-93.5,2.0847445,ATA
-89.5,-92.5,2.0842571,ATA
-89.5,-91.5,2.089644,ATA
-89.5,-90.5,2.0858593,ATA
-89.5,-89.5,2.0841644,ATA
-89.5,-88.5,2.0844314,ATA
-89.5,-87.5,2.0819118,ATA
-89.5,-86.5,2.0777068,ATA
-89.5,-85.5,2.0813298,ATA
-89.5,-84.5,2.0838385,ATA
-89.5,-83.5,2.0839028,ATA
-89.5,-82.5,2.0840392,ATA
-89.5,-81.5,2.0825682,ATA
-89.5,-80.5,2.0821848,ATA
-89.5,-79.5,2.0823538,ATA
-89.5,-78.5,2.0781195,ATA
-89.5,-77.5,2.0805645,ATA
-89.5,-76.5,2.0783095,ATA
-89.5,-75.5,2.0799727,ATA
-89.5,-74.5,2.0808291,ATA
-89.5,-73.5,2.08095,ATA
-89.5,-72.5,2.0812268,ATA
-89.5,-71.5,2.0794668,ATA
-89.5,-70.5,2.0817351,ATA
-89.5,-69.5,2.0825384,ATA
-89.5,-68.5,2.0828617,ATA
-89.5,-67.5,2.0831306,ATA
-89.5,-66.5,2.0834925,ATA
-89.5,-65.5,2.0833454,ATA
-89.5,-64.5,2.0835257,ATA
-89.5,-63.5,2.0823033,ATA
-89.5,-62.5,2.0733523,ATA
-89.5,-61.5,2.074387,ATA
-89.5,-60.5,2.0766072,ATA
-89.5,-59.5,2.0787284,ATA
-89.5,-58.5,2.079382,ATA
-89.5,-57.5,2.0777354,ATA
-89.5,-56.5,2.0778022,ATA
-89.5,-55.5,2.0778131,ATA
-89.5,-54.5,2.0771017,ATA
-89.5,-53.5,2.0748475,ATA
-89.5,-52.5,2.0760336,ATA
-89.5,-51.5,2.076867,ATA
-89.5,-50.5,2.0770583,ATA
-89.5,-49.5,2.0762558,ATA
-89.5,-48.5,2.076884,ATA
-89.5,-47.5,2.0776336,ATA
-89.5,-46.5,2.0772355,ATA
-89.5,-45.5,2.0776665,ATA
-89.5,-44.5,2.0757146,ATA
-89.5,-43.5,2.0700974,ATA
-89.5,-42.5,2.0693848,ATA
-89.5,-41.5,2.074057,ATA
-89.5,-40.5,2.070177,ATA
-89.5,-39.5,2.0699675,ATA
-89.5,-38.5,2.0744915,ATA
-89.5,-37.5,2.0757604,ATA
-89.5,-36.5,2.0709987,ATA
-89.5,-35.5,2.0690293,ATA
-89.5,-34.5,2.068533,ATA
-89.5,-33.5,2.0700674,ATA
-89.5,-32.5,2.0762079,ATA
-89.5,-31.5,2.0767262,ATA
-89.5,-30.5,2.0753922,ATA
-89.5,-29.5,2.0743642,ATA
-89.5,-28.5,2.0749726,ATA
-89.5,-27.5,2.0698247,ATA
-89.5,-26.5,2.068694,ATA
-89.5,-25.5,2.0691333,ATA
-89.5,-24.5,2.0686052,ATA
-89.5,-23.5,2.0675292,ATA
-89.5,-22.5,2.0681775,ATA
-89.5,-21.5,2.0684764,ATA
-89.5,-20.5,2.0700743,ATA
