lat,lon,total,pays
-77.5,-45.5,0.30665568,ATA
-77.5,-44.5,0.33855003,ATA
-77.5,-43.5,0.36557117,ATA
-77.5,-42.5,0.3837772,ATA
-77.5,-41.5,0.3956305,ATA
-77.5,-39.5,0.4085369,ATA
-77.5,-38.5,0.4093198,ATA
-77.5,-37.5,0.40696564,ATA
-77.5,-36.5,0.40234366,ATA
-77.5,-35.5,0.39482895,ATA
-76.5,-37.5,0.5516334,ATA
-76.5,-36.5,0.5431303,ATA
-76.5,-35.5,0.5326239,ATA
-76.5,-34.5,0.5184307,ATA
-76.5,-33.5,0.5019598,ATA
-76.5,-32.5,0.4849805,ATA
-76.5,-31.5,0.46725044,ATA
-76.5,-30.5,0.449773,ATA
-76.5,163.5,0.39535436,ATA
-76.5,164.5,0.40651616,ATA
-76.5,165.5,0.421453,ATA
-75.5,-55.5,0.44554052,ATA
-75.5,-54.5,0.48648414,ATA
-75.5,-53.5,0.52219504,ATA
-75.5,-52.5,0.55271196,ATA
-75.5,-51.5,0.57847345,ATA
-75.5,-50.5,0.60051674,ATA
-75.5,-49.5,0.6183489,ATA
-75.5,-48.5,0.631957,ATA
-75.5,-47.5,0.6430763,ATA
-75.5,-46.5,0.6518506,ATA
-75.5,-45.5,0.6581103,ATA
-75.5,-44.5,0.6626031,ATA
-75.5,-43.5,0.665238,ATA
-75.5,-42.5,0.6661885,ATA
-75.5,-41.5,0.66564095,ATA
-75.5,-40.5,0.663098,ATA
-75.5,-39.5,0.658568,ATA
-75.5,-38.5,0.65257025,ATA
-75.5,-37.5,0.6445076,ATA
-75.5,-36.5,0.63495994,ATA
-75.5,-35.5,0.62430626,ATA
-75.5,-34.5,0.61145365,ATA
-75.5,-33.5,0.59741664,ATA
-75.5,-32.5,0.58199644,ATA
-75.5,-31.5,0.56494707,ATA
-75.5,-30.5,0.5479739,ATA
-75.5,-29.5,0.5316788,ATA
-75.5,163.5,0.37995696,ATA
-74.5,-104.5,-0.06950725,ATA
-74.5,-103.5,-0.103285,ATA
-74.5,-102.5,-0.14069028,ATA
-74.5,-60.5,0.13359356,ATA
-74.5,-59.5,0.22962122,ATA
-74.5,-58.5,0.31197292,ATA
-74.5,-57.5,0.38245443,ATA
-74.5,-56.5,0.44486016,ATA
-74.5,-55.5,0.49974155,ATA
-74.5,164.5,0.37083644,ATA
-73.5,-117.5,0.17253253,ATA
-73.5,-116.5,0.18157211,ATA
-73.5,-115.5,0.18941216,ATA
-73.5,-114.5,0.1893783,ATA
-73.5,-113.5,0.1866527,ATA
-73.5,-53.5,0.5890206,ATA
-73.5,-52.5,0.6225497,ATA
-73.5,-51.5,0.6493441,ATA
-73.5,-50.5,0.6706189,ATA
-73.5,-49.5,0.68533456,ATA
-73.5,-48.5,0.69578624,ATA
-73.5,-47.5,0.7020665,ATA
-73.5,-46.5,0.70534277,ATA
-73.5,-45.5,0.7061602,ATA
-73.5,-44.5,0.7042686,ATA
-73.5,-43.5,0.70066637,ATA
-73.5,-42.5,0.6956214,ATA
-73.5,-41.5,0.68996537,ATA
-73.5,-40.5,0.68419373,ATA
-73.5,-39.5,0.6781708,ATA
-73.5,-38.5,0.6725533,ATA
-73.5,-37.5,0.66638243,ATA
-73.5,-36.5,0.65993464,ATA
-73.5,-35.5,0.65310824,ATA
-73.5,-34.5,0.6454895,ATA
-73.5,-33.5,0.63842255,ATA
-73.5,-32.5,0.6315522,ATA
-73.5,-31.5,0.62520725,ATA
-73.5,-30.5,0.6195552,ATA
-73.5,-29.5,0.6141268,ATA
-73.5,-28.5,0.6084484,ATA
-73.5,-27.5,0.60287106,ATA
-73.5,-26.5,0.5971209,ATA
-73.5,-25.5,0.58938205,ATA
-73.5,-24.5,0.5800379,ATA
-73.5,-23.5,0.57072204,ATA
-73.5,-22.5,0.5629288,ATA
-73.5,-21.5,0.55565935,ATA
-73.5,-20.5,0.5433736,ATA
-73.5,166.5,0.38424677,ATA
-72.5,-107.5,0.28916964,ATA
-72.5,-106.5,0.27260816,ATA
-72.5,-105.5,0.24819915,ATA
-72.5,-104.5,0.20671439,ATA
-72.5,-103.5,0.15173826,ATA
-72.5,-87.5,0.15177695,ATA
-72.5,-86.5,0.16764423,ATA
-72.5,-85.5,0.17808768,ATA
-72.5,-84.5,0.17484298,ATA
-72.5,-83.5,0.16131318,ATA
-72.5,-82.5,0.14541681,ATA
-72.5,-81.5,0.12002741,ATA
-72.5,-80.5,0.08260783,ATA
-72.5,-53.5,0.566955,ATA
-72.5,-52.5,0.60229576,ATA
-72.5,-51.5,0.62926006,ATA
-72.5,-50.5,0.6497617,ATA
-72.5,-49.5,0.6629614,ATA
-72.5,-48.5,0.6719455,ATA
-72.5,-47.5,0.6766373,ATA
-72.5,-46.5,0.6778506,ATA
-72.5,-45.5,0.6759069,ATA
-72.5,-44.5,0.6713861,ATA
